Rank;	Iteration;	E0;	
185;	0;	0.000184384;	
185;	1;	0.000184384;	
185;	2;	0.000184384;	
185;	3;	0.000184384;	
185;	4;	0.000184384;	
185;	5;	0.000184384;	
185;	6;	0.000184384;	
185;	7;	0.000184384;	
185;	8;	0.000184384;	
185;	9;	0.000184384;	
185;	10;	 ;	
186;	0;	0.000184384;	
186;	1;	0.000184384;	
186;	2;	0.000184384;	
186;	3;	0.000184384;	
186;	4;	0.000184384;	
186;	5;	0.000184384;	
186;	6;	0.000184384;	
186;	7;	0.000184384;	
186;	8;	0.000184384;	
186;	9;	0.000184384;	
186;	10;	 ;	
187;	0;	0.000184384;	
187;	1;	0.000184384;	
187;	2;	0.000184384;	
187;	3;	0.000184384;	
187;	4;	0.000184384;	
187;	5;	0.000184384;	
187;	6;	0.000184384;	
187;	7;	0.000184384;	
187;	8;	0.000184384;	
187;	9;	0.000184384;	
187;	10;	 ;	
188;	0;	0.000184384;	
188;	1;	0.000184384;	
188;	2;	0.000184384;	
188;	3;	0.000184384;	
188;	4;	0.000184384;	
188;	5;	0.000184384;	
188;	6;	0.000184384;	
188;	7;	0.000184384;	
188;	8;	0.000184384;	
188;	9;	0.000184384;	
188;	10;	 ;	
189;	0;	0.000184384;	
189;	1;	0.000184384;	
189;	2;	0.000184384;	
189;	3;	0.000184384;	
189;	4;	0.000184384;	
189;	5;	0.000184384;	
189;	6;	0.000184384;	
189;	7;	0.000184384;	
189;	8;	0.000184384;	
189;	9;	0.000184384;	
189;	10;	 ;	
190;	0;	0.000184384;	
190;	1;	0.000184384;	
190;	2;	0.000184384;	
190;	3;	0.000184384;	
190;	4;	0.000184384;	
190;	5;	0.000184384;	
190;	6;	0.000184384;	
190;	7;	0.000184384;	
190;	8;	0.000184384;	
190;	9;	0.000184384;	
190;	10;	 ;	
191;	0;	0.000184384;	
191;	1;	0.000184384;	
191;	2;	0.000184383;	
191;	3;	0.000184384;	
191;	4;	0.000184384;	
191;	5;	0.000184384;	
191;	6;	0.000184384;	
191;	7;	0.000184384;	
191;	8;	0.000184384;	
191;	9;	0.000184384;	
191;	10;	 ;	
192;	0;	0.000184384;	
192;	1;	0.000184384;	
192;	2;	0.000184383;	
192;	3;	0.000184384;	
192;	4;	0.000184384;	
192;	5;	0.000184384;	
192;	6;	0.000184384;	
192;	7;	0.000184384;	
192;	8;	0.000184384;	
192;	9;	0.000184384;	
192;	10;	 ;	
193;	0;	0.000184384;	
193;	1;	0.000184384;	
193;	2;	0.000184384;	
193;	3;	0.000184384;	
193;	4;	0.000184384;	
193;	5;	0.000184384;	
193;	6;	0.000184384;	
193;	7;	0.000184384;	
193;	8;	0.000184384;	
193;	9;	0.000184384;	
193;	10;	 ;	
194;	0;	0.000184384;	
194;	1;	0.000184384;	
194;	2;	0.000184384;	
194;	3;	0.000184384;	
194;	4;	0.000184384;	
194;	5;	0.000184384;	
194;	6;	0.000184384;	
194;	7;	0.000184384;	
194;	8;	0.000184384;	
194;	9;	0.000184384;	
194;	10;	 ;	
195;	0;	0.000184384;	
195;	1;	0.000184384;	
195;	2;	0.000184383;	
195;	3;	0.000184384;	
195;	4;	0.000184384;	
195;	5;	0.000184384;	
195;	6;	0.000184384;	
195;	7;	0.000184384;	
195;	8;	0.000184384;	
195;	9;	0.000184384;	
195;	10;	 ;	
196;	0;	0.000184384;	
196;	1;	0.000184384;	
196;	2;	0.000184384;	
196;	3;	0.000184384;	
196;	4;	0.000184384;	
196;	5;	0.000184384;	
196;	6;	0.000184384;	
196;	7;	0.000184384;	
196;	8;	0.000184384;	
196;	9;	0.000184384;	
196;	10;	 ;	
197;	0;	0.000184384;	
197;	1;	0.000184384;	
197;	2;	0.000184384;	
197;	3;	0.000184384;	
197;	4;	0.000184384;	
197;	5;	0.000184384;	
197;	6;	0.000184384;	
197;	7;	0.000184384;	
197;	8;	0.000184384;	
197;	9;	0.000184384;	
197;	10;	 ;	
198;	0;	0.000184384;	
198;	1;	0.000184384;	
198;	2;	0.000184384;	
198;	3;	0.000184384;	
198;	4;	0.000184384;	
198;	5;	0.000184384;	
198;	6;	0.000184384;	
198;	7;	0.000184384;	
198;	8;	0.000184384;	
198;	9;	0.000184384;	
198;	10;	 ;	
199;	0;	0.000184384;	
199;	1;	0.000184384;	
199;	2;	0.000184384;	
199;	3;	0.000184384;	
199;	4;	0.000184384;	
199;	5;	0.000184384;	
199;	6;	0.000184384;	
199;	7;	0.000184384;	
199;	8;	0.000184384;	
199;	9;	0.000184384;	
199;	10;	 ;	
200;	0;	0.000184384;	
200;	1;	0.000184384;	
200;	2;	0.000184384;	
200;	3;	0.000184384;	
200;	4;	0.000184384;	
200;	5;	0.000184384;	
200;	6;	0.000184384;	
200;	7;	0.000184384;	
200;	8;	0.000184384;	
200;	9;	0.000184384;	
200;	10;	 ;	
201;	0;	0.000184384;	
201;	1;	0.000184384;	
201;	2;	0.000184384;	
201;	3;	0.000184384;	
201;	4;	0.000184384;	
201;	5;	0.000184384;	
201;	6;	0.000184384;	
201;	7;	0.000184384;	
201;	8;	0.000184384;	
201;	9;	0.000184384;	
201;	10;	 ;	
202;	0;	0.000184384;	
202;	1;	0.000184384;	
202;	2;	0.000184384;	
202;	3;	0.000184384;	
202;	4;	0.000184384;	
202;	5;	0.000184384;	
202;	6;	0.000184384;	
202;	7;	0.000184384;	
202;	8;	0.000184384;	
202;	9;	0.000184384;	
202;	10;	 ;	
203;	0;	0.000184384;	
203;	1;	0.000184384;	
203;	2;	0.000184384;	
203;	3;	0.000184384;	
203;	4;	0.000184384;	
203;	5;	0.000184384;	
203;	6;	0.000184384;	
203;	7;	0.000184384;	
203;	8;	0.000184384;	
203;	9;	0.000184384;	
203;	10;	 ;	
204;	0;	0.000184384;	
204;	1;	0.000184384;	
204;	2;	0.000184384;	
204;	3;	0.000184384;	
204;	4;	0.000184384;	
204;	5;	0.000184384;	
204;	6;	0.000184384;	
204;	7;	0.000184384;	
204;	8;	0.000184384;	
204;	9;	0.000184384;	
204;	10;	 ;	
205;	0;	0.000184384;	
205;	1;	0.000184384;	
205;	2;	0.000184383;	
205;	3;	0.000184384;	
205;	4;	0.000184384;	
205;	5;	0.000184384;	
205;	6;	0.000184384;	
205;	7;	0.000184384;	
205;	8;	0.000184384;	
205;	9;	0.000184384;	
205;	10;	 ;	
206;	0;	0.000184384;	
206;	1;	0.000184384;	
206;	2;	0.000184384;	
206;	3;	0.000184384;	
206;	4;	0.000184384;	
206;	5;	0.000184384;	
206;	6;	0.000184384;	
206;	7;	0.000184384;	
206;	8;	0.000184384;	
206;	9;	0.000184384;	
206;	10;	 ;	
207;	0;	0.000184384;	
207;	1;	0.000184384;	
207;	2;	0.000184384;	
207;	3;	0.000184384;	
207;	4;	0.000184384;	
207;	5;	0.000184384;	
207;	6;	0.000184384;	
207;	7;	0.000184384;	
207;	8;	0.000184384;	
207;	9;	0.000184384;	
207;	10;	 ;	
208;	0;	0.000184384;	
208;	1;	0.000184384;	
208;	2;	0.000184384;	
208;	3;	0.000184384;	
208;	4;	0.000184384;	
208;	5;	0.000184384;	
208;	6;	0.000184384;	
208;	7;	0.000184384;	
208;	8;	0.000184384;	
208;	9;	0.000184384;	
208;	10;	 ;	
209;	0;	0.000184384;	
209;	1;	0.000184384;	
209;	2;	0.000184384;	
209;	3;	0.000184384;	
209;	4;	0.000184384;	
209;	5;	0.000184384;	
209;	6;	0.000184384;	
209;	7;	0.000184384;	
209;	8;	0.000184384;	
209;	9;	0.000184384;	
209;	10;	 ;	
210;	0;	0.000184384;	
210;	1;	0.000184384;	
210;	2;	0.000184384;	
210;	3;	0.000184384;	
210;	4;	0.000184384;	
210;	5;	0.000184384;	
210;	6;	0.000184384;	
210;	7;	0.000184384;	
210;	8;	0.000184384;	
210;	9;	0.000184384;	
210;	10;	 ;	
211;	0;	0.000184384;	
211;	1;	0.000184384;	
211;	2;	0.000184384;	
211;	3;	0.000184384;	
211;	4;	0.000184384;	
211;	5;	0.000184384;	
211;	6;	0.000184384;	
211;	7;	0.000184384;	
211;	8;	0.000184384;	
211;	9;	0.000184384;	
211;	10;	 ;	
212;	0;	0.000184384;	
212;	1;	0.000184384;	
212;	2;	0.000184384;	
212;	3;	0.000184384;	
212;	4;	0.000184384;	
212;	5;	0.000184384;	
212;	6;	0.000184384;	
212;	7;	0.000184384;	
212;	8;	0.000184384;	
212;	9;	0.000184384;	
212;	10;	 ;	
213;	0;	0.000184384;	
213;	1;	0.000184384;	
213;	2;	0.000184383;	
213;	3;	0.000184384;	
213;	4;	0.000184384;	
213;	5;	0.000184384;	
213;	6;	0.000184384;	
213;	7;	0.000184384;	
213;	8;	0.000184384;	
213;	9;	0.000184384;	
213;	10;	 ;	
214;	0;	0.000184384;	
214;	1;	0.000184384;	
214;	2;	0.000184384;	
214;	3;	0.000184384;	
214;	4;	0.000184384;	
214;	5;	0.000184384;	
214;	6;	0.000184384;	
214;	7;	0.000184384;	
214;	8;	0.000184384;	
214;	9;	0.000184384;	
214;	10;	 ;	
215;	0;	0.000184384;	
215;	1;	0.000184384;	
215;	2;	0.000184385;	
215;	3;	0.000184384;	
215;	4;	0.000184384;	
215;	5;	0.000184384;	
215;	6;	0.000184384;	
215;	7;	0.000184384;	
215;	8;	0.000184384;	
215;	9;	0.000184383;	
215;	10;	 ;	
216;	0;	0.000184384;	
216;	1;	0.000184384;	
216;	2;	0.000184384;	
216;	3;	0.000184384;	
216;	4;	0.000184384;	
216;	5;	0.000184384;	
216;	6;	0.000184384;	
216;	7;	0.000184384;	
216;	8;	0.000184384;	
216;	9;	0.000184384;	
216;	10;	 ;	
217;	0;	0.000184384;	
217;	1;	0.000184384;	
217;	2;	0.000184384;	
217;	3;	0.000184384;	
217;	4;	0.000184384;	
217;	5;	0.000184384;	
217;	6;	0.000184384;	
217;	7;	0.000184384;	
217;	8;	0.000184384;	
217;	9;	0.000184384;	
217;	10;	 ;	
218;	0;	0.000184384;	
218;	1;	0.000184384;	
218;	2;	0.000184384;	
218;	3;	0.000184384;	
218;	4;	0.000184384;	
218;	5;	0.000184384;	
218;	6;	0.000184384;	
218;	7;	0.000184384;	
218;	8;	0.000184384;	
218;	9;	0.000184384;	
218;	10;	 ;	
219;	0;	0.000184384;	
219;	1;	0.000184384;	
219;	2;	0.000184384;	
219;	3;	0.000184384;	
219;	4;	0.000184384;	
219;	5;	0.000184384;	
219;	6;	0.000184384;	
219;	7;	0.000184384;	
219;	8;	0.000184384;	
219;	9;	0.000184384;	
219;	10;	 ;	
220;	0;	0.000184384;	
220;	1;	0.000184384;	
220;	2;	0.000184384;	
220;	3;	0.000184384;	
220;	4;	0.000184384;	
220;	5;	0.000184384;	
220;	6;	0.000184384;	
220;	7;	0.000184384;	
220;	8;	0.000184384;	
220;	9;	0.000184384;	
220;	10;	 ;	
221;	0;	0.000184384;	
221;	1;	0.000184384;	
221;	2;	0.000184384;	
221;	3;	0.000184384;	
221;	4;	0.000184384;	
221;	5;	0.000184384;	
221;	6;	0.000184384;	
221;	7;	0.000184384;	
221;	8;	0.000184384;	
221;	9;	0.000184384;	
221;	10;	 ;	
222;	0;	0.000184384;	
222;	1;	0.000184384;	
222;	2;	0.000184384;	
222;	3;	0.000184384;	
222;	4;	0.000184384;	
222;	5;	0.000184384;	
222;	6;	0.000184384;	
222;	7;	0.000184384;	
222;	8;	0.000184384;	
222;	9;	0.000184384;	
222;	10;	 ;	
223;	0;	0.000184384;	
223;	1;	0.000184384;	
223;	2;	0.000184384;	
223;	3;	0.000184384;	
223;	4;	0.000184384;	
223;	5;	0.000184384;	
223;	6;	0.000184384;	
223;	7;	0.000184384;	
223;	8;	0.000184384;	
223;	9;	0.000184384;	
223;	10;	 ;	
224;	0;	0.000184384;	
224;	1;	0.000184384;	
224;	2;	0.000184384;	
224;	3;	0.000184384;	
224;	4;	0.000184384;	
224;	5;	0.000184384;	
224;	6;	0.000184384;	
224;	7;	0.000184384;	
224;	8;	0.000184384;	
224;	9;	0.000184384;	
224;	10;	 ;	
225;	0;	0.000184384;	
225;	1;	0.000184384;	
225;	2;	0.000184384;	
225;	3;	0.000184384;	
225;	4;	0.000184384;	
225;	5;	0.000184384;	
225;	6;	0.000184384;	
225;	7;	0.000184384;	
225;	8;	0.000184384;	
225;	9;	0.000184384;	
225;	10;	 ;	
226;	0;	0.000184384;	
226;	1;	0.000184384;	
226;	2;	0.000184385;	
226;	3;	0.000184384;	
226;	4;	0.000184384;	
226;	5;	0.000184384;	
226;	6;	0.000184384;	
226;	7;	0.000184384;	
226;	8;	0.000184384;	
226;	9;	0.000184383;	
226;	10;	 ;	
227;	0;	0.000184384;	
227;	1;	0.000184384;	
227;	2;	0.000184384;	
227;	3;	0.000184384;	
227;	4;	0.000184384;	
227;	5;	0.000184384;	
227;	6;	0.000184384;	
227;	7;	0.000184384;	
227;	8;	0.000184384;	
227;	9;	0.000184384;	
227;	10;	 ;	
228;	0;	0.000184384;	
228;	1;	0.000184384;	
228;	2;	0.000184384;	
228;	3;	0.000184384;	
228;	4;	0.000184384;	
228;	5;	0.000184384;	
228;	6;	0.000184384;	
228;	7;	0.000184384;	
228;	8;	0.000184384;	
228;	9;	0.000184384;	
228;	10;	 ;	
229;	0;	0.000184384;	
229;	1;	0.000184384;	
229;	2;	0.000184383;	
229;	3;	0.000184384;	
229;	4;	0.000184384;	
229;	5;	0.000184384;	
229;	6;	0.000184384;	
229;	7;	0.000184384;	
229;	8;	0.000184384;	
229;	9;	0.000184384;	
229;	10;	 ;	
230;	0;	0.000184384;	
230;	1;	0.000184384;	
230;	2;	0.000184384;	
230;	3;	0.000184384;	
230;	4;	0.000184384;	
230;	5;	0.000184384;	
230;	6;	0.000184384;	
230;	7;	0.000184384;	
230;	8;	0.000184384;	
230;	9;	0.000184384;	
230;	10;	 ;	
231;	0;	0.000184384;	
231;	1;	0.000184384;	
231;	2;	0.000184384;	
231;	3;	0.000184384;	
231;	4;	0.000184384;	
231;	5;	0.000184384;	
231;	6;	0.000184384;	
231;	7;	0.000184384;	
231;	8;	0.000184384;	
231;	9;	0.000184384;	
231;	10;	 ;	
232;	0;	0.000184384;	
232;	1;	0.000184384;	
232;	2;	0.000184384;	
232;	3;	0.000184384;	
232;	4;	0.000184384;	
232;	5;	0.000184384;	
232;	6;	0.000184384;	
232;	7;	0.000184384;	
232;	8;	0.000184384;	
232;	9;	0.000184384;	
232;	10;	 ;	
233;	0;	0.000184384;	
233;	1;	0.000184384;	
233;	2;	0.000184384;	
233;	3;	0.000184384;	
233;	4;	0.000184384;	
233;	5;	0.000184384;	
233;	6;	0.000184384;	
233;	7;	0.000184384;	
233;	8;	0.000184384;	
233;	9;	0.000184384;	
233;	10;	 ;	
234;	0;	0.000184384;	
234;	1;	0.000184384;	
234;	2;	0.000184384;	
234;	3;	0.000184384;	
234;	4;	0.000184384;	
234;	5;	0.000184384;	
234;	6;	0.000184384;	
234;	7;	0.000184384;	
234;	8;	0.000184384;	
234;	9;	0.000184384;	
234;	10;	 ;	
235;	0;	0.000184384;	
235;	1;	0.000184384;	
235;	2;	0.000184384;	
235;	3;	0.000184384;	
235;	4;	0.000184384;	
235;	5;	0.000184384;	
235;	6;	0.000184384;	
235;	7;	0.000184384;	
235;	8;	0.000184384;	
235;	9;	0.000184384;	
235;	10;	 ;	
236;	0;	0.000184384;	
236;	1;	0.000184384;	
236;	2;	0.000184384;	
236;	3;	0.000184384;	
236;	4;	0.000184384;	
236;	5;	0.000184384;	
236;	6;	0.000184384;	
236;	7;	0.000184384;	
236;	8;	0.000184384;	
236;	9;	0.000184384;	
236;	10;	 ;	
237;	0;	0.000184384;	
237;	1;	0.000184384;	
237;	2;	0.000184384;	
237;	3;	0.000184384;	
237;	4;	0.000184384;	
237;	5;	0.000184384;	
237;	6;	0.000184384;	
237;	7;	0.000184384;	
237;	8;	0.000184384;	
237;	9;	0.000184384;	
237;	10;	 ;	
238;	0;	0.000184384;	
238;	1;	0.000184384;	
238;	2;	0.000184384;	
238;	3;	0.000184384;	
238;	4;	0.000184384;	
238;	5;	0.000184384;	
238;	6;	0.000184384;	
238;	7;	0.000184384;	
238;	8;	0.000184384;	
238;	9;	0.000184384;	
238;	10;	 ;	
239;	0;	0.000184384;	
239;	1;	0.000184384;	
239;	2;	0.000184384;	
239;	3;	0.000184384;	
239;	4;	0.000184384;	
239;	5;	0.000184384;	
239;	6;	0.000184384;	
239;	7;	0.000184384;	
239;	8;	0.000184384;	
239;	9;	0.000184384;	
239;	10;	 ;	
240;	0;	0.000184384;	
240;	1;	0.000184384;	
240;	2;	0.000184384;	
240;	3;	0.000184384;	
240;	4;	0.000184384;	
240;	5;	0.000184384;	
240;	6;	0.000184384;	
240;	7;	0.000184384;	
240;	8;	0.000184384;	
240;	9;	0.000184384;	
240;	10;	 ;	
241;	0;	0.000184384;	
241;	1;	0.000184384;	
241;	2;	0.000184384;	
241;	3;	0.000184384;	
241;	4;	0.000184384;	
241;	5;	0.000184384;	
241;	6;	0.000184384;	
241;	7;	0.000184384;	
241;	8;	0.000184384;	
241;	9;	0.000184384;	
241;	10;	 ;	
242;	0;	0.000184384;	
242;	1;	0.000184384;	
242;	2;	0.000184384;	
242;	3;	0.000184384;	
242;	4;	0.000184384;	
242;	5;	0.000184384;	
242;	6;	0.000184384;	
242;	7;	0.000184384;	
242;	8;	0.000184384;	
242;	9;	0.000184384;	
242;	10;	 ;	
243;	0;	0.000184384;	
243;	1;	0.000184384;	
243;	2;	0.000184384;	
243;	3;	0.000184384;	
243;	4;	0.000184384;	
243;	5;	0.000184384;	
243;	6;	0.000184384;	
243;	7;	0.000184384;	
243;	8;	0.000184384;	
243;	9;	0.000184384;	
243;	10;	 ;	
244;	0;	0.000184384;	
244;	1;	0.000184384;	
244;	2;	0.000184384;	
244;	3;	0.000184384;	
244;	4;	0.000184384;	
244;	5;	0.000184384;	
244;	6;	0.000184384;	
244;	7;	0.000184384;	
244;	8;	0.000184384;	
244;	9;	0.000184384;	
244;	10;	 ;	
245;	0;	0.000184384;	
245;	1;	0.000184384;	
245;	2;	0.000184384;	
245;	3;	0.000184384;	
245;	4;	0.000184384;	
245;	5;	0.000184384;	
245;	6;	0.000184384;	
245;	7;	0.000184384;	
245;	8;	0.000184384;	
245;	9;	0.000184384;	
245;	10;	 ;	
246;	0;	0.000184384;	
246;	1;	0.000184384;	
246;	2;	0.000184384;	
246;	3;	0.000184384;	
246;	4;	0.000184384;	
246;	5;	0.000184384;	
246;	6;	0.000184384;	
246;	7;	0.000184384;	
246;	8;	0.000184384;	
246;	9;	0.000184384;	
246;	10;	 ;	
247;	0;	0.000184384;	
247;	1;	0.000184384;	
247;	2;	0.000184384;	
247;	3;	0.000184384;	
247;	4;	0.000184384;	
247;	5;	0.000184384;	
247;	6;	0.000184384;	
247;	7;	0.000184384;	
247;	8;	0.000184384;	
247;	9;	0.000184384;	
247;	10;	 ;	
248;	0;	0.000184384;	
248;	1;	0.000184384;	
248;	2;	0.000184384;	
248;	3;	0.000184384;	
248;	4;	0.000184384;	
248;	5;	0.000184384;	
248;	6;	0.000184384;	
248;	7;	0.000184384;	
248;	8;	0.000184384;	
248;	9;	0.000184384;	
248;	10;	 ;	
249;	0;	0.000184384;	
249;	1;	0.000184384;	
249;	2;	0.000184384;	
249;	3;	0.000184384;	
249;	4;	0.000184384;	
249;	5;	0.000184384;	
249;	6;	0.000184384;	
249;	7;	0.000184384;	
249;	8;	0.000184384;	
249;	9;	0.000184384;	
249;	10;	 ;	
250;	0;	0.000184384;	
250;	1;	0.000184384;	
250;	2;	0.000184384;	
250;	3;	0.000184384;	
250;	4;	0.000184384;	
250;	5;	0.000184384;	
250;	6;	0.000184384;	
250;	7;	0.000184384;	
250;	8;	0.000184384;	
250;	9;	0.000184384;	
250;	10;	 ;	
251;	0;	0.000184384;	
251;	1;	0.000184384;	
251;	2;	0.000184384;	
251;	3;	0.000184384;	
251;	4;	0.000184384;	
251;	5;	0.000184384;	
251;	6;	0.000184384;	
251;	7;	0.000184384;	
251;	8;	0.000184384;	
251;	9;	0.000184384;	
251;	10;	 ;	
252;	0;	0.000184384;	
252;	1;	0.000184384;	
252;	2;	0.000184384;	
252;	3;	0.000184384;	
252;	4;	0.000184384;	
252;	5;	0.000184384;	
252;	6;	0.000184384;	
252;	7;	0.000184384;	
252;	8;	0.000184384;	
252;	9;	0.000184384;	
252;	10;	 ;	
253;	0;	0.000184384;	
253;	1;	0.000184384;	
253;	2;	0.000184383;	
253;	3;	0.000184384;	
253;	4;	0.000184384;	
253;	5;	0.000184384;	
253;	6;	0.000184384;	
253;	7;	0.000184384;	
253;	8;	0.000184384;	
253;	9;	0.000184384;	
253;	10;	 ;	
254;	0;	0.000184384;	
254;	1;	0.000184384;	
254;	2;	0.000184383;	
254;	3;	0.000184384;	
254;	4;	0.000184384;	
254;	5;	0.000184384;	
254;	6;	0.000184384;	
254;	7;	0.000184384;	
254;	8;	0.000184384;	
254;	9;	0.000184384;	
254;	10;	 ;	
255;	0;	0.000184384;	
255;	1;	0.000184384;	
255;	2;	0.000184384;	
255;	3;	0.000184384;	
255;	4;	0.000184384;	
255;	5;	0.000184384;	
255;	6;	0.000184384;	
255;	7;	0.000184384;	
255;	8;	0.000184384;	
255;	9;	0.000184384;	
255;	10;	 ;	
